model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
CNN,mnist,10,25088,0,25088,28682,[2],[0.99999848],20.32037314865055,[2],[1.],20.320375,266,4978,25088
CNN,mnist,10,25088,1,25088,30785,[1],[0.9999953],13.437280585932035,[1],[0.9999844],13.437292,225,7081,25088
CNN,mnist,10,25088,2,25088,27806,[6],[0.99999998],17.80755236079839,[6],[0.9999999],17.807552,338,3159,25088
CNN,mnist,10,25088,3,25088,31606,[2],[0.9999973],17.707753016230246,[2],[0.9999994],17.707752,338,7902,25088
CNN,mnist,10,25088,4,25088,42131,[4],[0.97226137],7.353537644744685,[4],[0.96130335],7.3648705,338,24042,25088
CNN,mnist,10,25088,5,25088,45561,[2],[0.67381331],6.8354178474391345,[2],[0.6585407],6.8583436,327,36238,25088
CNN,mnist,10,25088,6,25088,30444,[2],[0.99996958],21.99798002167425,[2],[1.],21.997952,338,6712,25088
CNN,mnist,10,25088,7,25088,29692,[2],[0.99993309],13.356197516881332,[2],[0.99847096],13.357659,309,5821,25088
CNN,mnist,10,25088,8,25088,26075,[1],[0.9407386],13.587331265686494,[1],[0.9999839],13.526257,200,1398,25088
CNN,mnist,10,25088,9,25088,26725,[2],[0.99999477],21.61596821079815,[2],[1.],21.615967,266,1911,25088
CNN,mnist,10,25088,10,25088,29919,[1],[0.99999891],16.670218608565445,[1],[0.9999988],16.670223,188,6215,25088
CNN,mnist,10,25088,11,25088,28179,[3],[0.9999998],25.864669997354376,[3],[1.],25.864666,507,3707,25088
CNN,mnist,10,25088,12,25088,28032,[9],[0.99983652],11.118403852819364,[9],[0.96689844],11.151898,266,5020,25088
CNN,mnist,10,25088,13,25088,35241,[8],[0.9963264],13.48230948000891,[8],[0.99887115],13.479759,368,12229,25088
CNN,mnist,10,25088,14,25088,29825,[7],[0.99990934],15.758307517248754,[7],[0.99997294],15.75824,446,5660,25088
CNN,mnist,10,25088,15,25088,28072,[8],[0.99999994],18.088893951564174,[8],[0.99999964],18.088894,266,4368,25088
CNN,mnist,10,25088,16,25088,26188,[1],[0.99995297],14.260073008412776,[1],[0.9999927],14.260032,198,1511,25088
CNN,mnist,10,25088,17,25088,32018,[9],[0.99822149],14.347165646804013,[9],[0.99874073],14.346641,338,9006,25088
CNN,mnist,10,25088,18,25088,34215,[3],[0.99992606],12.209522756644906,[3],[0.99991703],12.209535,297,10511,25088
CNN,mnist,10,25088,19,25088,28218,[4],[0.99999943],21.02977809210839,[4],[0.9999999],21.029778,266,4514,25088
CNN,mnist,10,25088,20,25088,28400,[3],[0.9999966],19.301673479046542,[3],[0.99999917],19.30168,399,3920,25088
CNN,mnist,10,25088,21,25088,36423,[8],[0.99827669],13.685638984821466,[8],[0.99867994],13.685234,225,18342,25088
CNN,mnist,10,25088,22,25088,28644,[5],[0.99999979],20.089843960395353,[5],[0.9999999],20.08985,399,4313,25088
CNN,mnist,10,25088,23,25088,28059,[5],[0.99999959],18.978184155394846,[5],[0.9999994],18.97818,327,3587,25088
CNN,mnist,10,25088,24,25088,31630,[3],[0.99999757],19.577215720037827,[3],[0.9999974],19.577215,399,8618,25088
CNN,mnist,10,25088,25,25088,36999,[8],[0.99685589],13.040306122034401,[8],[0.996807],13.040353,338,16582,25088
CNN,mnist,10,25088,26,25088,28942,[9],[0.9999851],16.326947805864705,[9],[0.9999914],16.326937,206,5238,25088
CNN,mnist,10,25088,27,25088,27636,[4],[0.99999896],20.48188695328028,[4],[1.],20.481884,446,3164,25088
CNN,mnist,10,25088,28,25088,28012,[7],[0.99999925],18.776665486915547,[7],[0.99999976],18.776665,266,3540,25088
CNN,mnist,10,25088,29,25088,30482,[8],[0.99999998],20.96623613008565,[8],[1.],20.966236,399,6317,25088
CNN,mnist,10,25088,30,25088,30626,[0],[0.99780903],13.532950319670825,[0],[0.99969053],13.531061,399,7576,25088
CNN,mnist,10,25088,31,25088,29384,[5],[0.99914911],14.154937361938337,[5],[0.9998951],14.154194,297,5640,25088
CNN,mnist,10,25088,32,25088,27344,[5],[0.99999995],19.929462485329424,[5],[0.9999993],19.929466,266,2872,25088
CNN,mnist,10,25088,33,25088,29173,[3],[1.],25.55041122526763,[3],[1.],25.550415,507,4451,25088
CNN,mnist,10,25088,34,25088,27640,[1],[0.99988293],14.874569672051097,[1],[0.99999416],14.87446,225,3168,25088
CNN,mnist,10,25088,35,25088,32226,[2],[0.99866754],14.116933929776497,[2],[0.99939394],14.116203,338,10252,25088
CNN,mnist,10,25088,36,25088,28616,[2],[0.99987428],17.093890985937684,[2],[0.99999917],17.09377,507,4144,25088
CNN,mnist,10,25088,37,25088,33218,[4],[0.99951339],13.174002046467816,[4],[0.9996375],13.173879,233,10206,25088
CNN,mnist,10,25088,38,25088,31469,[3],[0.99999979],19.483967036149114,[3],[0.99999905],19.483961,338,7765,25088
CNN,mnist,10,25088,39,25088,32132,[0],[0.99987148],11.964165465262589,[0],[0.99913883],11.964894,490,9120,25088
CNN,mnist,10,25088,40,25088,29858,[8],[0.99999922],14.51219159874021,[8],[0.9999958],14.512188,327,6154,25088
CNN,mnist,10,25088,41,25088,32859,[4],[0.99999972],20.34822873015804,[4],[1.],20.34823,225,9155,25088
CNN,mnist,10,25088,42,25088,35473,[4],[0.99955916],12.624798161158292,[4],[0.9998252],12.624529,411,13499,25088
CNN,mnist,10,25088,43,25088,32076,[8],[1.],24.607147218371548,[8],[1.],24.607153,338,8372,25088
CNN,mnist,10,25088,44,25088,41896,[4],[0.80966891],8.74263927104527,[4],[0.8430297],8.70226,338,27318,25088
CNN,mnist,10,25088,45,25088,32040,[2],[0.99932466],13.807369602292846,[2],[0.9998939],13.806798,297,9028,25088
CNN,mnist,10,25088,46,25088,26808,[9],[0.99998602],21.062918334739727,[9],[1.],21.062902,297,2336,25088
CNN,mnist,10,25088,47,25088,28325,[8],[0.99999585],17.613130905350832,[8],[0.99999857],17.613127,309,4160,25088
CNN,mnist,10,25088,48,25088,30733,[3],[0.9999533],18.45168015748399,[3],[0.99999976],18.45163,464,7029,25088
CNN,mnist,10,25088,49,25088,28247,[2],[0.99996269],18.626174092369382,[2],[0.9999987],18.626143,338,3775,25088
CNN,mnist,10,25088,50,25088,35277,[8],[0.99730633],11.807482078716856,[8],[0.9996207],11.8051605,266,13303,25088
CNN,mnist,10,25088,51,25088,27015,[0],[0.99999997],18.480228456000248,[0],[0.9999995],18.480225,338,2338,25088
CNN,mnist,10,25088,52,25088,26232,[1],[0.99960333],13.353853249325647,[1],[0.99998605],13.353463,198,1555,25088
CNN,mnist,10,25088,53,25088,33133,[6],[0.99951998],12.546855411919768,[6],[0.99825376],12.548125,266,10121,25088
CNN,mnist,10,25088,54,25088,30034,[4],[0.99999981],19.15359516080673,[4],[0.99999905],19.153591,338,6461,25088
CNN,mnist,10,25088,55,25088,27488,[1],[0.99921601],13.703796768138796,[1],[0.9999764],13.703036,218,3016,25088
CNN,mnist,10,25088,56,25088,27014,[9],[0.9999999],19.20425425316725,[9],[1.],19.204256,297,2337,25088
CNN,mnist,10,25088,57,25088,27587,[1],[0.99999415],15.40901960121117,[1],[0.9999994],15.409023,200,2910,25088
