,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,0,4096,3899790,[28734],[0.99843323],20.75584045947178,[28734],[0.9997681],20.754509,1152086,3594959,4096
1,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,1,4096,6005921,[349],[0.37128335],14.94049678167835,[349],[0.3544375],14.986933,1152018,5893410,4096
2,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,2,4096,4811579,[842],[0.47806599],15.242246545266791,[842],[0.4945447],15.208358,512058,4811579,4096
3,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,3,4096,6965178,[272],[0.22427166],14.298487954986287,[272],[0.1822738],14.505838,1152000,6575715,4096
4,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,4,4096,4866236,[3304],[0.58728917],17.289264636161466,[3304],[0.58405703],17.294786,1152000,4107508,4096
5,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,5,4096,4325258,[415],[0.36037007],15.53596650384825,[415],[0.3450608],15.579389,1152000,4185996,4096
6,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,6,4096,4505304,[802],[0.99259495],17.70318378918868,[802],[0.9940832],17.701685,512020,4502131,4096
7,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,7,4096,4909951,[403],[0.24315499],15.400722900318279,[403],[0.26083738],15.330524,1152000,4460793,4096
8,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,8,4096,4848874,[28740],[0.75199194],19.593312523895435,[28740],[0.69767916],19.668282,512008,4846854,4096
9,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,9,4096,3350917,[28705],[0.99703371],19.772284508760833,[28705],[0.99932754],19.769987,768057,3274535,4096
10,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,10,4096,6721027,[327],[0.70579071],13.886399450659773,[327],[0.72968835],13.853099,768098,6545224,4096
11,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,11,4096,6550706,[6516],[0.96724351],17.460934465861225,[6516],[0.9657738],17.462456,1728000,3733036,4096
12,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,12,4096,3388773,[272],[0.71279033],17.092790835869096,[272],[0.7659763],17.02083,1152000,3198037,4096
13,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,13,4096,3516940,[28784],[0.70358566],18.150714201956593,[28784],[0.65694374],18.219301,512008,3515958,4096
14,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,14,4096,3052435,[1200],[0.96323738],17.347655137699046,[1200],[0.9635101],17.34737,1152000,2940053,4096
15,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,15,4096,7587591,[802],[0.79829988],16.39509747471998,[802],[0.8418342],16.341997,768012,7574913,4096
16,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,16,4096,4846879,[264],[0.57538505],14.720268762205698,[264],[0.5541981],14.757788,1152000,4395862,4096
17,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,17,4096,5130473,[312],[0.26140456],15.500366942051244,[312],[0.24822289],15.552108,1728027,3512410,4096
18,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,18,4096,6232205,[28713],[0.94766417],17.309591581552496,[28713],[0.97932637],17.276731,768042,5882982,4096
19,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,19,4096,5315645,[28750],[0.98443725],18.680224455768432,[28750],[0.97431165],18.690563,1152000,7433664,4096
20,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,20,4096,2659458,[28740],[0.96390681],18.602838843211234,[28740],[0.9106783],18.659645,512000,2656746,4096
21,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,21,4096,5022546,[5651],[0.31742215],17.314381351921025,[5651],[0.34847888],17.221035,768012,4821298,4096
22,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,22,4096,7643133,[264],[0.26840106],14.253220182235365,[264],[0.31221145],14.102017,512065,7643133,4096
23,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,23,4096,3632268,[1200],[0.68199079],17.78117280978136,[1200],[0.5960103],17.915934,1152000,3406813,4096
24,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,24,4096,6222915,[2298],[0.64474882],17.869199950365985,[2298],[0.6352844],17.883984,768000,6159790,4096
25,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,25,4096,2771463,[7033],[0.57131612],15.611526542646818,[7033],[0.67217255],15.448947,1152045,2255009,4096
26,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,26,4096,2631301,[28734],[0.99375135],19.938549748758902,[28734],[0.9997601],19.932522,768012,2593302,4096
27,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,27,4096,5384652,[808],[0.38100893],13.6394081400563,[808],[0.3525823],13.716954,768012,5254946,4096
28,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,28,4096,5845934,[897],[0.99906592],21.257371818449883,[897],[0.9994468],21.256987,512020,5843222,4096
29,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,29,4096,5878821,[1190],[0.97587022],16.839782881554683,[1190],[0.98905367],16.826368,1152018,5722433,4096
