model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
CNN,eurosat,10,25088,0,80,216,[1],[0.99999165],22.896776922974663,[1],[0.9999914],22.896776,468,220,80
CNN,eurosat,10,25088,1,96,184,[2],[0.99999999],26.389598859090473,[2],[0.9999999],26.389599,729,160,96
CNN,eurosat,10,25088,2,64,138,[5],[0.99960918],19.722700011151584,[5],[0.99988675],19.722422,352,160,64
CNN,eurosat,10,25088,3,96,184,[8],[0.99999999],26.637069707946804,[8],[0.9999951],26.637075,366,160,96
CNN,eurosat,10,25088,4,152,287,[8],[1.],28.44835853655393,[8],[1.],28.448357,392,160,152
CNN,eurosat,10,25088,5,80,536,[1],[0.3389696],5.289008178816504,[1],[0.33899936],5.2889204,730,372,80
CNN,eurosat,10,25088,6,192,373,[4],[0.9999999],21.79945765487404,[4],[0.9999999],21.799458,847,184,192
CNN,eurosat,10,25088,7,111,215,[7],[0.99992983],13.299668870788611,[7],[0.9994785],13.30012,785,160,111
CNN,eurosat,10,25088,8,112,483,[3],[0.6217628],9.81441570449637,[3],[0.62194383],9.814123,559,410,112
CNN,eurosat,10,25088,9,177,330,[7],[1.],29.078533172720945,[7],[1.],29.078533,509,160,177
CNN,eurosat,10,25088,10,64,146,[1],[0.99999975],24.63654733576759,[1],[0.9999993],24.636547,350,176,64
CNN,eurosat,10,25088,11,48,108,[5],[0.99998558],20.797913670157502,[5],[0.9999939],20.797907,168,160,48
CNN,eurosat,10,25088,12,112,211,[6],[0.9792107],11.484606686373988,[6],[0.99454415],11.4690695,881,160,112
CNN,eurosat,10,25088,13,192,363,[4],[1.],25.913473129536982,[4],[1.],25.913473,451,160,192
CNN,eurosat,10,25088,14,388,730,[9],[1.],180.68154907226562,[9],[1.],180.68158,730,244,388
CNN,eurosat,10,25088,15,108,232,[1],[0.99998906],23.473235575655966,[1],[0.9999987],23.473227,437,184,108
CNN,eurosat,10,25088,16,92,187,[9],[0.99999935],29.052990609810053,[9],[0.99999917],29.052994,615,160,92
CNN,eurosat,10,25088,17,248,464,[4],[1.],31.857532505399654,[4],[1.],31.857533,476,200,248
CNN,eurosat,10,25088,18,156,291,[3],[0.99999966],19.878168445819604,[3],[0.9999976],19.878168,539,160,156
CNN,eurosat,10,25088,19,140,276,[0],[1.],82.66413116455078,[0],[1.],82.66413,590,160,140
CNN,eurosat,10,25088,20,604,1144,[9],[1.],539.1593017578125,[9],[1.],539.15924,1144,176,604
CNN,eurosat,10,25088,21,96,211,[0],[0.99998867],34.31957996466472,[0],[0.9999925],34.31958,305,200,96
CNN,eurosat,10,25088,22,665,1259,[4],[1.],167.03839111328125,[4],[1.],167.03839,1259,252,665
CNN,eurosat,10,25088,23,136,322,[9],[1.],52.55001068126071,[9],[1.],52.550014,854,240,136
CNN,eurosat,10,25088,24,127,353,[5],[0.99650055],15.319551347655636,[5],[0.9967325],15.319319,686,236,127
CNN,eurosat,10,25088,25,312,591,[4],[1.],61.143985748291016,[4],[1.],61.14399,591,176,312
CNN,eurosat,10,25088,26,76,157,[5],[1.],46.65965652467446,[5],[1.],46.659657,246,160,76
CNN,eurosat,10,25088,27,124,232,[8],[0.99999979],25.345335218953128,[8],[0.9999927],25.345345,523,160,124
CNN,eurosat,10,25088,28,80,208,[3],[0.98413365],7.951821775463005,[3],[0.97043633],7.965837,606,160,80
CNN,eurosat,10,25088,29,128,352,[3],[0.89170574],18.800413923663417,[3],[0.8917058],18.800413,352,372,128
CNN,eurosat,10,25088,30,128,272,[8],[0.99918656],12.702291774594922,[8],[0.989486],12.712048,793,184,128
CNN,eurosat,10,25088,31,189,351,[0],[1.],294.1658630371094,[0],[1.],294.16586,351,160,189
CNN,eurosat,10,25088,32,112,234,[8],[0.99995179],25.226290277955574,[8],[0.9999862],25.226255,648,176,112
CNN,eurosat,10,25088,33,76,157,[1],[0.99999967],28.63933214413861,[1],[0.99999976],28.639332,415,160,76
CNN,eurosat,10,25088,34,152,403,[7],[0.99198232],11.667735127212184,[7],[0.9895858],11.670154,689,290,152
CNN,eurosat,10,25088,35,204,384,[4],[1.],25.400259017945633,[4],[1.],25.40026,384,160,204
CNN,eurosat,10,25088,36,160,304,[3],[0.99999841],20.846685090838452,[3],[0.9999876],20.846695,448,160,160
CNN,eurosat,10,25088,37,96,184,[2],[0.99921231],20.502985269678437,[2],[0.99998295],20.502214,594,160,96
CNN,eurosat,10,25088,38,108,198,[5],[0.99999998],39.81382753509165,[5],[1.],39.813828,469,160,108
CNN,eurosat,10,25088,39,92,187,[6],[0.9981869],32.79866686182108,[6],[0.9999759],32.796875,290,160,92
CNN,eurosat,10,25088,40,76,372,[3],[0.81924857],6.812804911890022,[3],[0.81882256],6.8133254,400,228,76
CNN,eurosat,10,25088,41,144,422,[0],[0.6875871],29.933885310619164,[3],[0.9660471],33.316532,489,436,144
CNN,eurosat,10,25088,42,156,309,[6],[0.97317322],18.51075946991221,[4],[0.8820319],20.620907,573,176,156
CNN,eurosat,10,25088,43,112,281,[4],[0.99886371],11.665375867167121,[4],[0.9994485],11.66479,658,160,112
CNN,eurosat,10,25088,44,608,1148,[9],[1.],484.375244140625,[9],[1.],484.3753,1148,176,608
CNN,eurosat,10,25088,45,80,168,[5],[0.99996702],25.380497538662,[5],[0.99998426],25.38048,244,160,80
CNN,eurosat,10,25088,46,96,177,[8],[0.99999949],18.076843770466684,[8],[0.99999976],18.076843,536,160,96
CNN,eurosat,10,25088,47,604,1144,[9],[1.],460.29376220703125,[9],[1.],460.29373,1144,176,604
CNN,eurosat,10,25088,48,620,1178,[9],[1.],545.2146606445312,[9],[1.],545.2147,1178,176,620
CNN,eurosat,10,25088,49,233,440,[7],[1.],33.33976364138602,[7],[1.],33.339764,600,160,233
CNN,eurosat,10,25088,50,128,332,[3],[0.99999427],24.412239080928675,[3],[0.99999166],24.412241,716,282,128
CNN,eurosat,10,25088,51,128,236,[8],[0.99999987],21.20755017498965,[8],[0.9999976],21.207552,378,160,128
CNN,eurosat,10,25088,52,148,274,[0],[1.],108.0341567993164,[0],[1.],108.03416,392,176,148
CNN,eurosat,10,25088,53,112,216,[2],[0.99999597],18.36606619218523,[2],[0.9999975],18.366064,926,160,112
CNN,eurosat,10,25088,54,160,342,[4],[0.99982627],16.947977239798803,[4],[0.99997103],16.947834,665,236,160
CNN,eurosat,10,25088,55,111,215,[5],[0.99982332],24.514371188704335,[5],[0.9998913],24.514303,648,160,111
CNN,eurosat,10,25088,56,92,188,[1],[0.99999588],22.734026256705295,[1],[0.9999975],22.734026,627,176,92
CNN,eurosat,10,25088,57,152,287,[7],[0.99999999],20.8207302180325,[7],[1.],20.820732,424,160,152
CNN,eurosat,10,25088,58,124,236,[9],[0.9999999],27.27606783376099,[9],[1.],27.276068,849,160,124
CNN,eurosat,10,25088,59,128,236,[5],[0.99999791],28.587942303561807,[5],[0.99995124],28.587992,622,160,128
CNN,eurosat,10,25088,60,124,346,[1],[0.52896226],18.446252095979016,[1],[0.52969575],18.444866,682,372,124
CNN,eurosat,10,25088,61,124,232,[5],[0.99999931],44.04617759697324,[5],[1.],44.046177,466,160,124
CNN,eurosat,10,25088,62,96,222,[2],[0.99863166],13.149705689274708,[2],[0.99873394],13.149604,736,200,96
CNN,eurosat,10,25088,63,128,240,[8],[0.99999999],23.957126624949034,[8],[0.9997304],23.957396,352,160,128
CNN,eurosat,10,25088,64,80,152,[6],[0.99927434],11.80823915806069,[6],[0.99851054],11.809004,500,160,80
CNN,eurosat,10,25088,65,92,173,[5],[0.99997623],39.43668071940177,[5],[1.],39.436657,524,160,92
