,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,gpt2,penn_treebank_512,50257,768,0,768,4425185,[2954],[0.97359237],-213.4605116005256,[2954],[0.9881691],-213.47537,3840109,3060561,768
1,gpt2,penn_treebank_512,50257,768,1,768,5741529,[13],[0.54497616],-9.364213469381287,[13],[0.54115444],-9.357179,3942207,2493422,768
2,gpt2,penn_treebank_512,50257,768,2,768,4585111,[1279],[0.11714645],-93.52333314327682,[1279],[0.10978597],-93.45844,3891109,3675057,768
3,gpt2,penn_treebank_512,50257,768,3,768,4223744,[13423],[0.14770831],-108.25660498662457,[13423],[0.15342157],-108.29453,3903911,2795138,768
4,gpt2,penn_treebank_512,50257,768,4,768,4684389,[416],[0.1659855],-118.37687467084248,[416],[0.1822154],-118.47013,3892961,3069306,768
5,gpt2,penn_treebank_512,50257,768,5,768,4613584,[11115],[0.17888661],-110.19495147595659,[11115],[0.14295657],-109.97074,3866115,3068542,768
6,gpt2,penn_treebank_512,50257,768,6,768,6200923,[262],[0.03790583],-118.51458114047196,[262],[0.03516651],-118.43958,3903449,3668808,768
7,gpt2,penn_treebank_512,50257,768,7,768,4324738,[416],[0.42396288],-98.90544042075643,[416],[0.5348789],-99.137856,3868228,3186524,768
8,gpt2,penn_treebank_512,50257,768,8,768,4660770,[12],[0.60163207],138.7198401635883,[12],[0.6628133],138.62296,3878678,2290758,768
9,gpt2,penn_treebank_512,50257,768,9,768,5424195,[284],[0.95346901],139.19431583706276,[284],[0.9754204],139.17162,3909030,2726601,768
10,gpt2,penn_treebank_512,50257,768,10,768,4589565,[198],[0.1457184],-77.1452555470243,[198],[0.12444495],-76.98744,3844385,2362926,768
11,gpt2,penn_treebank_512,50257,768,11,768,5492292,[546],[0.79650541],76.92762511556813,[546],[0.82636625],76.89082,3861387,3760585,768
12,gpt2,penn_treebank_512,50257,768,12,768,4669687,[340],[0.24758428],-103.48174235345502,[340],[0.2923164],-103.64784,3882333,2983113,768
13,gpt2,penn_treebank_512,50257,768,13,768,5360724,[198],[0.24154122],-91.04251117504361,[198],[0.30491665],-91.2755,3861562,3283637,768
14,gpt2,penn_treebank_512,50257,768,14,768,4319746,[373],[0.17007329],-120.48489812069289,[373],[0.16507588],-120.455055,3988381,2521110,768
15,gpt2,penn_treebank_512,50257,768,15,768,6200883,[13],[0.595013],-45.40280216073794,[13],[0.61428005],-45.434673,3971985,3139979,768
16,gpt2,penn_treebank_512,50257,768,16,768,4493028,[1279],[0.34595346],-108.2844657119738,[1279],[0.3258097],-108.22446,3914257,2412767,768
17,gpt2,penn_treebank_512,50257,768,17,768,4657123,[286],[0.42734226],-94.4920845976326,[286],[0.48128366],-94.61097,3940830,3263995,768
18,gpt2,penn_treebank_512,50257,768,18,768,5015520,[262],[0.07131182],-133.91579482927278,[262],[0.07670946],-133.98875,3846402,3363206,768
19,gpt2,penn_treebank_512,50257,768,19,768,5151591,[13],[0.51094805],98.06848289360657,[13],[0.58731455],97.92918,3865559,2785260,768
20,gpt2,penn_treebank_512,50257,768,20,768,4670825,[27],[0.30352929],-88.73271063174788,[27],[0.2919272],-88.69373,3937701,2595902,768
21,gpt2,penn_treebank_512,50257,768,21,768,4854155,[1279],[0.20043769],-112.38227300232094,[1279],[0.2087417],-112.42286,4129853,3770025,768
22,gpt2,penn_treebank_512,50257,768,22,768,3821098,[198],[0.99636042],-252.20564332979114,[198],[0.99971133],-252.20898,3819730,2933728,768
